hr_0,hr_6,hr_12,hr_18,hr_24,hr_30
6000,8839.554,11957.118,15204.672,18868.122,23713.938
6000,8986.57008,12143.74176,15527.80074,19330.04808,24528.9858
6000,8692.53792,11770.49424,14881.54326,18406.19592,22898.8902
